java -ea -Xmx6676m -Xms6676m -cp /clusterfs/jgi/scratch/gentech/genome_analysis/brandonimstepf/bbmap/current/ ml.Trainer in=ncbi_vector_long.tsv dims=353,300,250,200,150,100,50,1 outb=out_353-300-250-200-150-100-50-1.bbnet balance=f t=8

Loading ncbi_vector_long.tsv
Inferring 353 inputs, 1 output, 0 weights.
Data was organized into 6 sets.
Using 8 worker threads, 1 trainer thread, 8 jobs/trainer/batch, 400000 batches, 1 cycle to train 1 network total.
Batch 1:	ERR= 0.248899	WER= 2.365109	FPR= 0.045762	FNR= 0.045738	CTF= 1.135295	4.98s
Batch 4:	ERR= 0.188322	WER= 1.487647	FPR= 0.045861	FNR= 0.045836	CTF= 1.003670	11.8s
Batch 16:	ERR= 0.193583	WER= 0.746812	FPR= 0.045738	FNR= 0.045713	CTF= 0.691774	39.4s
Batch 64:	ERR= 0.096554	WER= 0.474105	FPR= 0.045812	FNR= 0.045787	CTF= 0.565259	133s
Batch 256:	ERR= 0.112218	WER= 0.479332	FPR= 0.043860	FNR= 0.043786	CTF= -0.268099	191s
Batch 1024:	ERR= 0.052785	WER= 0.190504	FPR= 0.025822	FNR= 0.025747	CTF= 0.502749	244s
Batch 4096:	ERR= 0.918016	WER= 0.568937	FPR= 0.015221	FNR= 0.015196	CTF= 1.318163	979s
Batch 10k:	ERR= 3.045651	WER= 1.555722	FPR= 0.016457	FNR= 0.016432	CTF= 2.036192	1897s
Batch 20k:	ERR= 0.012550	WER= 0.103440	FPR= 0.009513	FNR= 0.009489	CTF= 0.431256	3219s
Batch 30k:	ERR= 0.011040	WER= 0.103293	FPR= 0.009587	FNR= 0.009563	CTF= 0.354690	3389s
Batch 40k:	ERR= 0.010562	WER= 0.101947	FPR= 0.009587	FNR= 0.009563	CTF= 0.327102	3442s
Batch 50k:	ERR= 0.010013	WER= 0.097768	FPR= 0.009711	FNR= 0.009686	CTF= 0.353365	3412s
Batch 60k:	ERR= 0.010224	WER= 0.101342	FPR= 0.009439	FNR= 0.009414	CTF= 0.341548	3523s
Batch 70k:	ERR= 0.010280	WER= 0.102154	FPR= 0.009612	FNR= 0.009587	CTF= 0.333757	3615s
Batch 80k:	ERR= 0.010289	WER= 0.102368	FPR= 0.009686	FNR= 0.009661	CTF= 0.305477	3625s
Batch 90k:	ERR= 0.010118	WER= 0.102524	FPR= 0.009810	FNR= 0.009785	CTF= 0.306106	3565s
Batch 100k:	ERR= 0.010157	WER= 0.102067	FPR= 0.009785	FNR= 0.009736	CTF= 0.303385	3675s
Batch 110k:	ERR= 0.009941	WER= 0.101048	FPR= 0.009686	FNR= 0.009661	CTF= 0.312075	3265s
Batch 120k:	ERR= 0.009915	WER= 0.100849	FPR= 0.009686	FNR= 0.009661	CTF= 0.307044	3295s
Batch 130k:	ERR= 0.009918	WER= 0.101151	FPR= 0.009760	FNR= 0.009736	CTF= 0.309615	3208s
Batch 140k:	ERR= 0.009897	WER= 0.101057	FPR= 0.009736	FNR= 0.009711	CTF= 0.298832	3202s
Batch 150k:	ERR= 0.009875	WER= 0.100883	FPR= 0.009686	FNR= 0.009661	CTF= 0.299730	3279s
Batch 160k:	ERR= 0.009895	WER= 0.101260	FPR= 0.009711	FNR= 0.009686	CTF= 0.307214	3318s
Batch 170k:	ERR= 0.009882	WER= 0.101049	FPR= 0.009736	FNR= 0.009711	CTF= 0.309842	3341s
Batch 180k:	ERR= 0.009886	WER= 0.101030	FPR= 0.009785	FNR= 0.009760	CTF= 0.322766	3235s
Batch 190k:	ERR= 0.009873	WER= 0.101019	FPR= 0.009686	FNR= 0.009661	CTF= 0.313204	3100s
Batch 200k:	ERR= 0.009890	WER= 0.101188	FPR= 0.009760	FNR= 0.009736	CTF= 0.312400	3084s
Batch 210k:	ERR= 0.009865	WER= 0.101006	FPR= 0.009736	FNR= 0.009711	CTF= 0.310795	3089s
Batch 220k:	ERR= 0.009884	WER= 0.101223	FPR= 0.009785	FNR= 0.009760	CTF= 0.307663	3098s
Batch 230k:	ERR= 0.009895	WER= 0.101285	FPR= 0.009736	FNR= 0.009711	CTF= 0.308043	3122s
Batch 240k:	ERR= 0.009908	WER= 0.101410	FPR= 0.009834	FNR= 0.009810	CTF= 0.309481	3084s
Batch 250k:	ERR= 0.009908	WER= 0.101450	FPR= 0.009785	FNR= 0.009760	CTF= 0.316245	3504s
slurmstepd: error: *** JOB 17711533 ON n0072.dori0 CANCELLED AT 2025-06-18T12:41:06 DUE TO TIME LIMIT ***
