ORF_ID,Original_Score,Modified_Score,Length,Status
NZ_CP009187.1_0,1212.2224,2020.3706,1524,TP
NZ_CP009187.1_14133,539.7964,899.6606,744,TP
NZ_CP009187.1_14913,316.3664,527.2773,699,TP
NZ_CP009187.1_27594,474.3944,790.6573,771,TP
NZ_CP009187.1_29244,217.0696,361.7826,363,TP
NZ_CP009187.1_31188,153.3877,255.6462,318,TP
NZ_CP009187.1_36606,195.7928,326.3213,264,TP
NZ_CP009187.1_55695,916.6830,1527.8051,1683,TP
NZ_CP009187.1_58191,245.1581,408.5967,291,TP
NZ_CP009187.1_59121,151.3035,252.1725,255,TP
NZ_CP009187.1_59895,88.8412,148.0687,522,TP
NZ_CP009187.1_68619,2958.5737,4930.9561,2940,TP
NZ_CP009187.1_71820,220.6625,367.7708,402,TP
NZ_CP009187.1_75300,1119.5212,1865.8687,912,TP
NZ_CP009187.1_79485,462.6240,771.0400,708,TP
NZ_CP009187.1_81675,1226.8440,2044.7400,993,TP
NZ_CP009187.1_88203,420.9663,701.6105,822,TP
NZ_CP009187.1_89574,224.9720,374.9533,345,TP
NZ_CP009187.1_90399,1880.2068,3133.6780,1923,TP
NZ_CP009187.1_93288,766.8676,1278.1127,663,TP
NZ_CP009187.1_122316,1036.9857,1728.3094,1515,TP
NZ_CP009187.1_137940,129.3113,215.5188,573,TP
NZ_CP009187.1_144048,1263.5409,2105.9014,1578,TP
NZ_CP009187.1_149532,948.0901,1580.1503,1464,TP
NZ_CP009187.1_163365,1154.9775,1924.9625,1326,TP
NZ_CP009187.1_170490,337.3577,562.2628,636,TP
NZ_CP009187.1_183621,1022.9376,1704.8960,1101,TP
NZ_CP009187.1_184722,286.6869,477.8114,333,TP
NZ_CP009187.1_193116,251.3477,418.9128,456,TP
NZ_CP009187.1_196860,683.6273,1139.3788,798,TP
NZ_CP009187.1_200931,1039.7086,1732.8477,1548,TP
NZ_CP009187.1_205230,838.3436,1397.2393,1548,TP
NZ_CP009187.1_208416,269.3682,448.9470,555,TP
NZ_CP009187.1_214968,528.8234,881.3723,750,TP
NZ_CP009187.1_222288,1084.3781,1807.2968,1242,TP
NZ_CP009187.1_223563,608.2045,1013.6741,1101,TP
NZ_CP009187.1_230898,320.2592,533.7654,636,TP
NZ_CP009187.1_232230,2358.1821,3930.3035,2247,TP
NZ_CP009187.1_250119,1076.6644,1794.4407,1479,TP
NZ_CP009187.1_251781,2063.2173,3438.6953,1821,TP
NZ_CP009187.1_258912,474.1317,790.2195,1014,TP
NZ_CP009187.1_264066,970.8708,1618.1179,1410,TP
NZ_CP009187.1_265506,607.8683,1013.1139,789,TP
NZ_CP009187.1_268662,798.5287,1330.8811,1155,TP
NZ_CP009187.1_273054,852.9811,1421.6353,1224,TP
NZ_CP009187.1_276057,1935.1230,3225.2051,1707,TP
NZ_CP009187.1_289344,257.1805,428.6342,438,TP
NZ_CP009187.1_292170,2100.4917,3500.8193,1323,TP
NZ_CP009187.1_296004,259.1401,431.9002,489,TP
NZ_CP009187.1_296808,528.1669,880.2781,1311,TP
NZ_CP009187.1_302865,2526.2261,4210.3765,2562,TP
NZ_CP009187.1_321330,1226.1992,2043.6653,1392,TP
NZ_CP009187.1_339363,946.3767,1577.2944,1611,TP
NZ_CP009187.1_342162,1871.4225,3119.0374,1863,TP
NZ_CP009187.1_349623,251.1326,418.5544,309,TP
NZ_CP009187.1_353082,1068.1818,1780.3029,1419,TP
NZ_CP009187.1_358170,499.6904,832.8174,786,TP
NZ_CP009187.1_363825,69.2927,115.4878,222,TP
NZ_CP009187.1_377112,269.0950,448.4917,717,TP
NZ_CP009187.1_383601,416.0638,693.4397,885,TP
NZ_CP009187.1_384534,376.8787,628.1312,615,TP
NZ_CP009187.1_387147,506.5203,844.2004,669,TP
NZ_CP009187.1_394110,317.7391,529.5652,603,TP
NZ_CP009187.1_398253,301.1931,501.9886,375,TP
NZ_CP009187.1_400167,892.8502,1488.0836,1536,TP
NZ_CP009187.1_408633,210.4515,350.7525,540,TP
NZ_CP009187.1_417477,489.6819,816.1365,813,TP
NZ_CP009187.1_422451,912.0016,1520.0026,1188,TP
NZ_CP009187.1_437517,578.3482,963.9136,780,TP
NZ_CP009187.1_455976,127.9815,213.3025,216,TP
NZ_CP009187.1_463410,3504.1086,5840.1812,3258,TP
NZ_CP009187.1_469590,207.1201,345.2002,423,TP
NZ_CP009187.1_474939,117.7770,196.2950,405,TP
NZ_CP009187.1_485730,2682.8245,4471.3740,4209,TP
NZ_CP009187.1_490782,805.0387,1341.7311,1011,TP
NZ_CP009187.1_501147,707.3636,1178.9393,1023,TP
NZ_CP009187.1_502365,444.2123,740.3539,759,TP
NZ_CP009187.1_519093,247.2197,412.0329,474,TP
NZ_CP009187.1_532395,312.0973,520.1621,516,TP
NZ_CP009187.1_551709,124.2048,207.0081,279,TP
NZ_CP009187.1_557526,1596.7511,2661.2517,1287,TP
NZ_CP009187.1_558894,902.2316,1503.7194,861,TP
NZ_CP009187.1_559887,824.9652,1374.9420,861,TP
NZ_CP009187.1_565020,405.7778,676.2963,423,TP
NZ_CP009187.1_566775,185.7306,309.5511,447,TP
NZ_CP009187.1_576786,398.4943,664.1572,552,TP
NZ_CP009187.1_579348,1001.6107,1669.3511,1233,TP
NZ_CP009187.1_584706,575.5328,959.2213,717,TP
NZ_CP009187.1_587376,580.7916,967.9859,933,TP
NZ_CP009187.1_589182,526.4075,877.3459,876,TP
NZ_CP009187.1_590094,562.0842,936.8070,876,TP
NZ_CP009187.1_597198,2889.1809,4815.3013,2907,TP
NZ_CP009187.1_608823,805.9451,1343.2417,1233,TP
NZ_CP009187.1_612597,122.0753,203.4589,306,TP
NZ_CP009187.1_616884,336.0482,560.0803,612,TP
NZ_CP009187.1_619890,912.1712,1520.2853,975,TP
NZ_CP009187.1_630039,1090.9874,1818.3124,1647,TP
NZ_CP009187.1_642888,1414.1967,2356.9944,1605,TP
NZ_CP009187.1_647958,246.8778,411.4630,516,TP
NZ_CP009187.1_652770,786.0076,1310.0127,1008,TP
NZ_CP009187.1_658320,904.2179,1507.0298,1020,TP
NZ_CP009187.1_661002,136.4159,227.3598,267,TP
NZ_CP009187.1_677709,81.1552,135.2587,216,TP
NZ_CP009187.1_685128,713.4969,1189.1615,798,TP
NZ_CP009187.1_686820,725.8177,1209.6962,1215,TP
NZ_CP009187.1_689058,932.5952,1554.3253,1446,TP
NZ_CP009187.1_699855,295.1677,491.9461,312,TP
NZ_CP009187.1_703485,269.4352,449.0587,402,TP
NZ_CP009187.1_710781,125.8068,209.6781,228,TP
NZ_CP009187.1_714201,510.8346,851.3909,1065,TP
NZ_CP009187.1_716409,106.9076,178.1794,255,TP
NZ_CP009187.1_718281,279.9267,466.5445,408,TP
NZ_CP009187.1_731151,96.5823,160.9704,213,TP
NZ_CP009187.1_734253,709.0211,1181.7018,717,TP
NZ_CP009187.1_735021,485.2177,808.6962,429,TP
NZ_CP009187.1_735516,813.6859,1356.1431,708,TP
NZ_CP009187.1_747036,612.3245,1020.5408,909,TP
NZ_CP009187.1_748275,753.2720,1255.4532,537,TP
NZ_CP009187.1_748848,546.6876,911.1460,393,TP
NZ_CP009187.1_769791,489.9495,816.5825,759,TP
NZ_CP009187.1_771483,2308.4651,3847.4417,1629,TP
NZ_CP009187.1_774063,425.0537,708.4228,723,TP
NZ_CP009187.1_778989,452.7308,754.5514,498,TP
NZ_CP009187.1_782484,4583.7729,7639.6216,2106,TP
NZ_CP009187.1_787098,570.4597,950.7662,828,TP
NZ_CP009187.1_789171,69.1377,115.2295,249,TP
NZ_CP009187.1_792156,747.8315,1246.3859,1176,TP
NZ_CP009187.1_796932,522.7499,871.2499,1440,TP
NZ_CP009187.1_800808,475.2609,792.1015,654,TP
NZ_CP009187.1_802527,474.5038,790.8397,843,TP
NZ_CP009187.1_803688,291.8766,486.4610,594,TP
NZ_CP009187.1_806334,3577.1995,5961.9990,2364,TP
NZ_CP009187.1_812058,751.2790,1252.1316,564,TP
NZ_CP009187.1_813939,229.1342,381.8903,369,TP
NZ_CP009187.1_814992,74.5949,124.3248,198,TP
NZ_CP009187.1_824799,1084.4320,1807.3866,1326,TP
NZ_CP009187.1_829206,365.4921,609.1535,498,TP
NZ_CP009187.1_830061,298.3607,497.2678,549,TP
NZ_CP009187.1_841227,149.8964,249.8273,429,TP
NZ_CP009187.1_851607,660.0405,1100.0674,744,TP
NZ_CP009187.1_864585,804.5980,1340.9966,1269,TP
NZ_CP009187.1_873342,677.0388,1128.3979,894,TP
NZ_CP009187.1_878619,507.5555,845.9258,705,TP
NZ_CP009187.1_882759,480.5300,800.8832,675,TP
NZ_CP009187.1_894630,211.4606,352.4344,348,TP
NZ_CP009187.1_898080,259.5635,432.6059,630,TP
NZ_CP009187.1_898830,706.7100,1177.8500,957,TP
NZ_CP009187.1_921969,721.3826,1202.3043,906,TP
NZ_CP009187.1_934719,283.2105,472.0175,771,TP
NZ_CP009187.1_939387,687.1808,1145.3014,1005,TP
NZ_CP009187.1_948756,372.2760,620.4600,639,TP
NZ_CP009187.1_953277,229.3699,382.2832,453,TP
NZ_CP009187.1_956292,3170.7317,5284.5527,2163,TP
NZ_CP009187.1_962679,82.5628,137.6046,201,TP
NZ_CP009187.1_962889,280.2477,467.0795,504,TP
NZ_CP009187.1_976074,515.1780,858.6299,789,TP
NZ_CP009187.1_978933,167.1737,278.6228,432,TP
NZ_CP009187.1_982761,758.9186,1264.8644,1023,TP
NZ_CP009187.1_983802,1438.9293,2398.2156,1728,TP
NZ_CP009187.1_993852,621.1328,1035.2212,1488,TP
NZ_CP009187.1_999471,1759.8846,2933.1411,1296,TP
NZ_CP009187.1_1003956,224.6823,374.4704,528,TP
NZ_CP009187.1_1014396,70.3295,117.2158,159,TP
NZ_CP009187.1_1016235,207.8711,346.4519,450,TP
NZ_CP009187.1_1024683,246.3251,410.5418,501,TP
NZ_CP009187.1_1036998,716.0571,1193.4285,915,TP
NZ_CP009187.1_1043298,723.5943,1205.9905,1017,TP
NZ_CP009187.1_1058259,2945.6895,4909.4824,2316,TP
NZ_CP009187.1_1065126,467.2606,778.7676,912,TP
NZ_CP009187.1_1066077,1165.3539,1942.2565,1368,TP
NZ_CP009187.1_1068204,1969.7727,3282.9543,1572,TP
NZ_CP009187.1_1073544,165.1173,275.1956,384,TP
NZ_CP009187.1_1099065,904.5632,1507.6052,1395,TP
NZ_CP009187.1_1109271,970.7722,1617.9536,921,TP
NZ_CP009187.1_1111569,218.4747,364.1245,654,TP
NZ_CP009187.1_1115865,367.5413,612.5688,660,TP
NZ_CP009187.1_1123713,1097.6316,1829.3860,1704,TP
NZ_CP009187.1_1128051,961.9456,1603.2426,1128,TP
NZ_CP009187.1_1130154,584.8984,974.8306,957,TP
NZ_CP009187.1_1131624,1922.3668,3203.9446,1635,TP
NZ_CP009187.1_1142670,631.4884,1052.4806,978,TP
NZ_CP009187.1_1143735,429.4181,715.6968,732,TP
NZ_CP009187.1_1144563,1417.2590,2362.0984,1290,TP
NZ_CP009187.1_1155852,429.4117,715.6861,570,TP
NZ_CP009187.1_1167672,454.7844,757.9740,882,TP
NZ_CP009187.1_1172385,253.5487,422.5812,447,TP
NZ_CP009187.1_1172880,649.7843,1082.9738,906,TP
NZ_CP009187.1_1176927,61.4717,102.4529,315,TP
NZ_CP009187.1_1180683,1392.0793,2320.1321,1632,TP
NZ_CP009187.1_1182390,740.5226,1234.2043,1065,TP
